Province,Year,risk_score,disease_outbreak
An Giang,2000,4,0
An Giang,2001,4,0
An Giang,2002,3,0
An Giang,2003,3,0
An Giang,2004,3,0
An Giang,2005,3,0
An Giang,2006,4,0
An Giang,2007,4,0
An Giang,2008,4,0
An Giang,2009,4,0
An Giang,2010,3,0
An Giang,2011,4,0
Ba Ria - Vung Tau,2000,5,1
Ba Ria - Vung Tau,2001,5,1
Ba Ria - Vung Tau,2002,4,0
Ba Ria - Vung Tau,2003,4,0
Ba Ria - Vung Tau,2004,4,0
Ba Ria - Vung Tau,2005,4,0
Ba Ria - Vung Tau,2006,4,0
Ba Ria - Vung Tau,2007,5,1
Ba Ria - Vung Tau,2008,5,1
Ba Ria - Vung Tau,2009,4,0
Ba Ria - Vung Tau,2010,5,1
Ba Ria - Vung Tau,2011,5,1
Bac Giang,2000,2,0
Bac Giang,2001,3,0
Bac Giang,2002,2,0
Bac Giang,2003,2,0
Bac Giang,2004,2,0
Bac Giang,2005,3,0
Bac Giang,2006,2,0
Bac Giang,2007,2,0
Bac Giang,2008,3,0
Bac Giang,2009,2,0
Bac Giang,2010,2,0
Bac Giang,2011,2,0
Bac Kan,2000,3,0
Bac Kan,2001,4,0
Bac Kan,2002,3,0
Bac Kan,2003,3,0
Bac Kan,2004,3,0
Bac Kan,2005,3,0
Bac Kan,2006,3,0
Bac Kan,2007,3,0
Bac Kan,2008,4,0
Bac Kan,2009,3,0
Bac Kan,2010,3,0
Bac Kan,2011,3,0
Bac Lieu,2000,5,1
Bac Lieu,2001,5,1
Bac Lieu,2002,5,1
Bac Lieu,2003,5,1
Bac Lieu,2004,4,0
Bac Lieu,2005,5,1
Bac Lieu,2006,5,1
Bac Lieu,2007,5,1
Bac Lieu,2008,5,1
Bac Lieu,2009,5,1
Bac Lieu,2010,5,1
Bac Lieu,2011,5,1
Bac Ninh,2000,2,0
Bac Ninh,2001,3,0
Bac Ninh,2002,2,0
Bac Ninh,2003,2,0
Bac Ninh,2004,2,0
